"Words","Freq"
"louis plant",2
"love hp",2
"love my",2
"love of",2
"love you",2
"lowbirthweight babies",2
"lurv it",2
"mack in",2
"made a",2
"make them",2
"making cars",2
"making the",2
"many times",2
"marlins wish",2
"mass automotive",2
"mayo fiesta",2
"mayor tony",2
"mayoral runoff",2
"me an",2
"me at",2
"me hard",2
"me now",2
"me too",2
"me which",2
"media rights",2
"medical costs",2
"medina sting",2
"meet chaaaa",2
"members to",2
"mentoring role",2
"merit their",2
"mets fan",2
"mile training",2
"minutes without",2
"money to",2
"month for",2
"moore and",2
"more information",2
"mortality and",2
"most of",2
"most valuable",2
"mount holly",2
"movie ticket",2
"much as",2
"much love",2
"music all",2
"must be",2
"must have",2
"mustard yellow",2
"my a",2
"my account",2
"my brother",2
"my day",2
"my friends",2
"my mom",2
"my son",2
"my walkin",2
"my woo",2
"name on",2
"need it",2
"needacinschool d",2
"needs to",2
"neinas was",2
"new hashtag",2
"new phone",2
"new range",2
"new television",2
"new york",2
"next week",2
"nfl astroturf",2
"no fear",2
"no more",2
"north york",2
"not a",2
"not all",2
"not be",2
"not even",2
"not listening",2
"not make",2
"not new",2
"not only",2
"not open",2
"not sitting",2
"not sure",2
"now im",2
"occurs elsewhere",2
"of an",2
"of cufon",2
"of great",2
"of mass",2
"of media",2
"of money",2
"of mount",2
"of old",2
"of our",2
"of place",2
"of them",2
"of these",2
"of those",2
"of time",2
"of to",2
"of twitter",2
"of visualization",2
"off a",2
"off the",2
"office worker",2
"often difficult",2
"oh boy",2
"okay so",2
"old age",2
"on april",2
"on cps",2
"on it",2
"on our",2
"on twitter",2
"on whether",2
"one time",2
"one whos",2
"one yesterday",2
"onethingyoushouldntdo spam",2
"onset of",2
"open that",2
"or even",2
"or performs",2
"or she",2
"or the",2
"org for",2
"other day",2
"other private",2
"other trading",2
"out a",2
"out free",2
"out on",2
"out redesign",2
"ovation right",2
"p start",2
"paint your",2
"painted i",2
"painted the",2
"parent attends",2
"parents most",2
"parents pay",2
"partners with",2
"passed a",2
"patient care",2
"patiently for",2
"pay her",2
"pay to",2
"people actually",2
"people are",2
"percent of",2
"perfectly in",2
"performed his",2
"performs volunteer",2
"personal and",2
"phone bill",2
"phone case",2
"pich well",2
"place the",2
"plan to",2
"plans for",2
"plans to",2
"plant had",2
"play a",2
"play in",2
"players were",2
"please tweet",2
"poised creation",2
"policies such",2
"political action",2
"powers of",2
"prayer for",2
"praying in",2
"predict a",2
"preferably a",2
"presence of",2
"pretty sure",2
"private universities",2
"problems to",2
"production in",2
"progress in",2
"progress reported",2
"promise you",2
"puppet theater",2
"pushing members",2
"puts the",2
"range rover",2
"ready to",2
"really feel",2
"records released",2
"redesign home",2
"released this",2
"reminder we",2
"replaced the",2
"reported it",2
"reportedly working",2
"rescue dog",2
"resources and",2
"rhetorical question",2
"ride and",2
"riders and",2
"riding without",2
"right after",2
"right away",2
"rights to",2
"risks and",2
"rnrchi bag",2
"role in",2
"room table",2
"rose to",2
"rover w",2
"royal oak",2
"rt important",2
"run mile",2
"runoff election",2
"same cream",2
"san antonio",2
"sat nfl",2
"say a",2
"school discipline",2
"school is",2
"school student",2
"schools to",2
"see advocates",2
"see yall",2
"see you",2
"seem to",2
"seen super",2
"sent from",2
"series of",2
"serious enough",2
"set up",2
"she and",2
"she has",2
"she is",2
"she said",2
"she was",2
"shes learning",2
"should have",2
"should think",2
"show disparities",2
"show the",2
"sitting well",2
"smoking in",2
"sntck please",2
"so apparently",2
"so it",2
"so that",2
"some cufon",2
"some sustainable",2
"somebody help",2
"someone to",2
"something is",2
"something year",2
"son patrick",2
"sorry for",2
"sorry to",2
"spam someone",2
"sparkly one",2
